Match Number,Round Number,Date,Location,Home Team,Away Team,Result
5,1,08/08/2025 20:00,Fortuna Sittard Stadion,Fortuna Sittard,Go Ahead Eagles,2 - 2
8,1,09/08/2025 16:30,Goffertstadion,N.E.C. Nijmegen,Excelsior Rotterdam,5 - 0
9,1,09/08/2025 18:45,De Kuip,Feyenoord,NAC Breda,2 - 0
2,1,09/08/2025 20:00,Abe Lenstra Stadion,sc Heerenveen,FC Volendam,1 - 1
7,1,09/08/2025 21:00,Philips Stadion,PSV,Sparta Rotterdam,6 - 1
1,1,10/08/2025 12:15,MAC³PARK Stadion,PEC Zwolle,FC Twente,1 - 0
3,1,10/08/2025 14:30,AFAS Stadion,AZ,FC Groningen,4 - 1
6,1,10/08/2025 14:30,Johan Cruyff Arena,Ajax,Telstar,2 - 0
4,1,10/08/2025 16:45,Stadion Galgenwaard,FC Utrecht,Heracles Almelo,4 - 0
11,2,15/08/2025 20:00,Sportpark Schoonenberg,Telstar,PEC Zwolle,0 - 2
14,2,16/08/2025 18:45,Van Donge & De Roo Stadion,Excelsior Rotterdam,Feyenoord,1 - 2
12,2,16/08/2025 20:00,Asito Stadion,Heracles Almelo,N.E.C. Nijmegen,1 - 4
18,2,16/08/2025 21:00,Euroborg,FC Groningen,sc Heerenveen,2 - 1
15,2,17/08/2025 12:15,De Adelaarshorst,Go Ahead Eagles,Ajax,2 - 2
13,2,17/08/2025 14:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,FC Utrecht,2 - 1
16,2,17/08/2025 14:30,De Grolsch Veste,FC Twente,PSV,0 - 2
17,2,17/08/2025 16:45,Kras Stadion,FC Volendam,AZ,2 - 2
10,2,17/08/2025 20:00,Rat Verlegh Stadion,NAC Breda,Fortuna Sittard,2 - 1
27,3,23/08/2025 16:30,De Adelaarshorst,Go Ahead Eagles,Sparta Rotterdam,0 - 3
22,3,23/08/2025 18:45,Philips Stadion,PSV,FC Groningen,4 - 2
23,3,23/08/2025 21:00,Sportpark Schoonenberg,Telstar,FC Volendam,2 - 2
24,3,24/08/2025 12:15,Abe Lenstra Stadion,sc Heerenveen,FC Twente,1 - 2
19,3,24/08/2025 14:30,Goffertstadion,N.E.C. Nijmegen,NAC Breda,3 - 0
21,3,24/08/2025 14:30,Stadion Galgenwaard,FC Utrecht,Excelsior Rotterdam,4 - 1
26,3,24/08/2025 16:45,Johan Cruyff Arena,Ajax,Heracles Almelo,2 - 0
20,3,17/09/2025 20:00,De Kuip,Feyenoord,Fortuna Sittard,2 - 0
25,3,24/09/2025 20:00,AFAS Stadion,AZ,PEC Zwolle,2 - 2
35,4,29/08/2025 20:00,Euroborg,FC Groningen,Heracles Almelo,4 - 0
32,4,30/08/2025 16:30,Kras Stadion,FC Volendam,Ajax,1 - 1
29,4,30/08/2025 18:45,Abe Lenstra Stadion,sc Heerenveen,Go Ahead Eagles,2 - 2
28,4,30/08/2025 20:00,Philips Stadion,PSV,Telstar,0 - 2
34,4,30/08/2025 21:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,FC Twente,1 - 0
33,4,31/08/2025 12:15,Fortuna Sittard Stadion,Fortuna Sittard,N.E.C. Nijmegen,3 - 2
30,4,31/08/2025 14:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,Feyenoord,0 - 4
36,4,31/08/2025 14:30,MAC³PARK Stadion,PEC Zwolle,FC Utrecht,0 - 2
31,4,31/08/2025 16:45,Rat Verlegh Stadion,NAC Breda,AZ,0 - 1
41,5,13/09/2025 16:30,Johan Cruyff Arena,Ajax,PEC Zwolle,3 - 1
39,5,13/09/2025 18:45,Goffertstadion,N.E.C. Nijmegen,PSV,3 - 5
43,5,13/09/2025 19:10,De Adelaarshorst,Go Ahead Eagles,FC Volendam,3 - 0
37,5,13/09/2025 21:00,De Grolsch Veste,FC Twente,NAC Breda,2 - 2
38,5,13/09/2025 21:00,De Kuip,Feyenoord,sc Heerenveen,1 - 0
44,5,14/09/2025 12:15,Van Donge & De Roo Stadion,Excelsior Rotterdam,Sparta Rotterdam,0 - 1
40,5,14/09/2025 14:30,Stadion Galgenwaard,FC Utrecht,FC Groningen,0 - 1
42,5,14/09/2025 14:30,Asito Stadion,Heracles Almelo,AZ,1 - 2
45,5,14/09/2025 16:45,Sportpark Schoonenberg,Telstar,Fortuna Sittard,1 - 3
54,6,19/09/2025 20:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,FC Twente,1 - 5
50,6,20/09/2025 16:30,Kras Stadion,FC Volendam,Excelsior Rotterdam,1 - 2
47,6,20/09/2025 18:45,Euroborg,FC Groningen,Telstar,2 - 0
49,6,20/09/2025 20:00,Fortuna Sittard Stadion,Fortuna Sittard,FC Utrecht,1 - 0
52,6,20/09/2025 21:00,Rat Verlegh Stadion,NAC Breda,Heracles Almelo,2 - 1
51,6,21/09/2025 12:15,MAC³PARK Stadion,PEC Zwolle,Go Ahead Eagles,0 - 2
48,6,21/09/2025 14:30,Philips Stadion,PSV,Ajax,2 - 2
53,6,21/09/2025 14:30,Abe Lenstra Stadion,sc Heerenveen,N.E.C. Nijmegen,3 - 2
46,6,21/09/2025 16:45,AFAS Stadion,AZ,Feyenoord,3 - 3
60,7,26/09/2025 20:00,De Grolsch Veste,FC Twente,Fortuna Sittard,3 - 2
58,7,27/09/2025 16:30,Johan Cruyff Arena,Ajax,NAC Breda,2 - 1
63,7,27/09/2025 18:45,Kras Stadion,FC Volendam,PEC Zwolle,2 - 1
61,7,27/09/2025 20:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,PSV,1 - 2
57,7,27/09/2025 21:00,Asito Stadion,Heracles Almelo,Sparta Rotterdam,3 - 0
55,7,28/09/2025 12:15,Goffertstadion,N.E.C. Nijmegen,AZ,2 - 1
56,7,28/09/2025 14:30,Euroborg,FC Groningen,Feyenoord,0 - 1
59,7,28/09/2025 14:30,Stadion Galgenwaard,FC Utrecht,sc Heerenveen,2 - 2
62,7,28/09/2025 16:45,Sportpark Schoonenberg,Telstar,Go Ahead Eagles,4 - 2
72,8,03/10/2025 20:00,Rat Verlegh Stadion,NAC Breda,FC Groningen,1 - 2
66,8,04/10/2025 16:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,Ajax,3 - 3
70,8,04/10/2025 18:45,Fortuna Sittard Stadion,Fortuna Sittard,FC Volendam,1 - 0
68,8,04/10/2025 20:00,MAC³PARK Stadion,PEC Zwolle,PSV,0 - 4
65,8,04/10/2025 21:00,Abe Lenstra Stadion,sc Heerenveen,Excelsior Rotterdam,2 - 1
64,8,05/10/2025 12:15,De Grolsch Veste,FC Twente,Heracles Almelo,2 - 1
67,8,05/10/2025 14:30,De Kuip,Feyenoord,FC Utrecht,3 - 2
69,8,05/10/2025 16:45,AFAS Stadion,AZ,Telstar,2 - 1
71,8,05/10/2025 20:00,De Adelaarshorst,Go Ahead Eagles,N.E.C. Nijmegen,1 - 1
75,9,18/10/2025 16:45,Goffertstadion,N.E.C. Nijmegen,FC Twente,3 - 3
73,9,18/10/2025 18:45,Philips Stadion,PSV,Go Ahead Eagles,2 - 1
81,9,18/10/2025 18:45,Stadion Galgenwaard,FC Utrecht,FC Volendam,3 - 1
74,9,18/10/2025 21:00,Johan Cruyff Arena,Ajax,AZ,0 - 2
79,9,18/10/2025 21:00,Rat Verlegh Stadion,NAC Breda,PEC Zwolle,2 - 2
77,9,19/10/2025 12:15,Sportpark Schoonenberg,Telstar,sc Heerenveen,2 - 3
78,9,19/10/2025 14:30,Van Donge & De Roo Stadion,Excelsior Rotterdam,Fortuna Sittard,1 - 0
80,9,19/10/2025 14:30,Euroborg,FC Groningen,Sparta Rotterdam,0 - 2
76,9,19/10/2025 16:45,Asito Stadion,Heracles Almelo,Feyenoord,0 - 7
90,10,24/10/2025 20:00,Abe Lenstra Stadion,sc Heerenveen,NAC Breda,3 - 3
84,10,25/10/2025 16:40,Fortuna Sittard Stadion,Fortuna Sittard,FC Groningen,1 - 2
89,10,25/10/2025 18:45,Sparta Stadion Het Kasteel,Sparta Rotterdam,Telstar,1 - 0
83,10,25/10/2025 20:00,Kras Stadion,FC Volendam,Heracles Almelo,3 - 0
82,10,25/10/2025 21:00,MAC³PARK Stadion,PEC Zwolle,N.E.C. Nijmegen,2 - 2
85,10,26/10/2025 12:15,De Grolsch Veste,FC Twente,Ajax,2 - 3
86,10,26/10/2025 14:30,De Kuip,Feyenoord,PSV,2 - 3
87,10,26/10/2025 16:45,AFAS Stadion,AZ,FC Utrecht,4 - 1
88,10,26/10/2025 20:00,De Adelaarshorst,Go Ahead Eagles,Excelsior Rotterdam,2 - 0
97,11,31/10/2025 20:00,Philips Stadion,PSV,Fortuna Sittard,5 - 2
99,11,01/11/2025 16:30,Johan Cruyff Arena,Ajax,sc Heerenveen,1 - 1
93,11,01/11/2025 18:45,Rat Verlegh Stadion,NAC Breda,Go Ahead Eagles,1 - 0
91,11,01/11/2025 20:00,De Kuip,Feyenoord,FC Volendam,3 - 1
98,11,01/11/2025 21:00,Sportpark Schoonenberg,Telstar,Excelsior Rotterdam,2 - 2
96,11,02/11/2025 12:15,Asito Stadion,Heracles Almelo,PEC Zwolle,8 - 2
92,11,02/11/2025 14:30,Euroborg,FC Groningen,FC Twente,1 - 1
95,11,02/11/2025 14:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,AZ,0 - 1
94,11,02/11/2025 16:45,Stadion Galgenwaard,FC Utrecht,N.E.C. Nijmegen,1 - 0
103,12,07/11/2025 20:00,De Grolsch Veste,FC Twente,Telstar,0 - 0
104,12,08/11/2025 16:30,Van Donge & De Roo Stadion,Excelsior Rotterdam,Heracles Almelo,1 - 2
108,12,08/11/2025 18:45,Kras Stadion,FC Volendam,NAC Breda,2 - 1
102,12,08/11/2025 20:00,Fortuna Sittard Stadion,Fortuna Sittard,sc Heerenveen,2 - 0
100,12,08/11/2025 21:00,MAC³PARK Stadion,PEC Zwolle,Sparta Rotterdam,1 - 0
106,12,09/11/2025 12:15,Stadion Galgenwaard,FC Utrecht,Ajax,2 - 1
107,12,09/11/2025 14:30,Goffertstadion,N.E.C. Nijmegen,FC Groningen,2 - 0
105,12,09/11/2025 16:45,AFAS Stadion,AZ,PSV,1 - 5
101,12,09/11/2025 20:00,De Adelaarshorst,Go Ahead Eagles,Feyenoord,2 - 1
117,13,22/11/2025 16:30,Rat Verlegh Stadion,NAC Breda,PSV,
114,13,22/11/2025 18:45,Johan Cruyff Arena,Ajax,Excelsior Rotterdam,
116,13,22/11/2025 18:45,Kras Stadion,FC Volendam,FC Twente,
112,13,22/11/2025 21:00,Asito Stadion,Heracles Almelo,Go Ahead Eagles,
113,13,22/11/2025 21:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,Fortuna Sittard,
111,13,23/11/2025 12:15,Abe Lenstra Stadion,sc Heerenveen,AZ,
109,13,23/11/2025 14:30,De Kuip,Feyenoord,N.E.C. Nijmegen,
115,13,23/11/2025 14:30,Sportpark Schoonenberg,Telstar,FC Utrecht,
110,13,23/11/2025 16:45,Euroborg,FC Groningen,PEC Zwolle,
126,14,28/11/2025 20:00,MAC³PARK Stadion,PEC Zwolle,sc Heerenveen,
124,14,29/11/2025 16:30,Van Donge & De Roo Stadion,Excelsior Rotterdam,NAC Breda,
123,14,29/11/2025 18:45,Fortuna Sittard Stadion,Fortuna Sittard,Heracles Almelo,
121,14,29/11/2025 21:00,Goffertstadion,N.E.C. Nijmegen,Sparta Rotterdam,
119,14,30/11/2025 12:15,Philips Stadion,PSV,FC Volendam,
122,14,30/11/2025 14:30,Sportpark Schoonenberg,Telstar,Feyenoord,
125,14,30/11/2025 14:30,De Adelaarshorst,Go Ahead Eagles,FC Utrecht,
118,14,30/11/2025 16:45,De Grolsch Veste,FC Twente,AZ,
120,14,30/11/2025 20:00,Johan Cruyff Arena,Ajax,FC Groningen,
133,15,05/12/2025 20:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,FC Groningen,
129,15,06/12/2025 16:30,Abe Lenstra Stadion,sc Heerenveen,PSV,
132,15,06/12/2025 18:45,Fortuna Sittard Stadion,Fortuna Sittard,Ajax,
135,15,06/12/2025 20:00,Asito Stadion,Heracles Almelo,Telstar,
127,15,06/12/2025 21:00,De Kuip,Feyenoord,PEC Zwolle,
131,15,07/12/2025 12:15,Stadion Galgenwaard,FC Utrecht,FC Twente,
128,15,07/12/2025 14:30,AFAS Stadion,AZ,Go Ahead Eagles,
134,15,07/12/2025 14:30,Kras Stadion,FC Volendam,N.E.C. Nijmegen,
130,15,07/12/2025 16:45,Sparta Stadion Het Kasteel,Sparta Rotterdam,NAC Breda,
138,16,13/12/2025 16:30,Sportpark Schoonenberg,Telstar,N.E.C. Nijmegen,
139,16,13/12/2025 18:45,Euroborg,FC Groningen,FC Volendam,
144,16,13/12/2025 20:00,Philips Stadion,PSV,Heracles Almelo,
137,16,13/12/2025 21:00,MAC³PARK Stadion,PEC Zwolle,Fortuna Sittard,
140,16,14/12/2025 12:15,Sparta Stadion Het Kasteel,Sparta Rotterdam,sc Heerenveen,
136,16,14/12/2025 14:30,Johan Cruyff Arena,Ajax,Feyenoord,
141,16,14/12/2025 14:30,De Grolsch Veste,FC Twente,Go Ahead Eagles,
142,16,14/12/2025 16:45,AFAS Stadion,AZ,Excelsior Rotterdam,
143,16,14/12/2025 16:45,Rat Verlegh Stadion,NAC Breda,FC Utrecht,
147,17,19/12/2025 20:00,Asito Stadion,Heracles Almelo,sc Heerenveen,
150,17,20/12/2025 16:30,Kras Stadion,FC Volendam,Sparta Rotterdam,
145,17,20/12/2025 18:45,Van Donge & De Roo Stadion,Excelsior Rotterdam,PEC Zwolle,
148,17,20/12/2025 20:00,Goffertstadion,N.E.C. Nijmegen,Ajax,
149,17,20/12/2025 21:00,Rat Verlegh Stadion,NAC Breda,Telstar,
153,17,21/12/2025 12:15,Stadion Galgenwaard,FC Utrecht,PSV,
151,17,21/12/2025 14:30,De Kuip,Feyenoord,FC Twente,
152,17,21/12/2025 14:30,De Adelaarshorst,Go Ahead Eagles,FC Groningen,
146,17,21/12/2025 16:45,Fortuna Sittard Stadion,Fortuna Sittard,AZ,
156,18,09/01/2026 20:00,Goffertstadion,N.E.C. Nijmegen,FC Utrecht,
158,18,10/01/2026 16:30,AFAS Stadion,AZ,FC Volendam,
160,18,10/01/2026 18:45,De Grolsch Veste,FC Twente,PEC Zwolle,
159,18,10/01/2026 20:00,Philips Stadion,PSV,Excelsior Rotterdam,
161,18,10/01/2026 21:00,Euroborg,FC Groningen,NAC Breda,
162,18,11/01/2026 12:15,Abe Lenstra Stadion,sc Heerenveen,Feyenoord,
155,18,11/01/2026 14:30,Sportpark Schoonenberg,Telstar,Ajax,
157,18,11/01/2026 14:30,De Adelaarshorst,Go Ahead Eagles,Fortuna Sittard,
154,18,11/01/2026 16:45,Sparta Stadion Het Kasteel,Sparta Rotterdam,Heracles Almelo,
169,19,16/01/2026 20:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,Telstar,
170,19,17/01/2026 16:30,Johan Cruyff Arena,Ajax,Go Ahead Eagles,
166,19,17/01/2026 18:45,MAC³PARK Stadion,PEC Zwolle,AZ,
163,19,17/01/2026 20:00,Fortuna Sittard Stadion,Fortuna Sittard,PSV,
171,19,17/01/2026 21:00,Rat Verlegh Stadion,NAC Breda,N.E.C. Nijmegen,
168,19,18/01/2026 12:15,Abe Lenstra Stadion,sc Heerenveen,FC Groningen,
164,19,18/01/2026 14:30,Kras Stadion,FC Volendam,FC Utrecht,
165,19,18/01/2026 14:30,Asito Stadion,Heracles Almelo,FC Twente,
167,19,18/01/2026 16:45,De Kuip,Feyenoord,Sparta Rotterdam,
175,20,24/01/2026 16:30,Johan Cruyff Arena,Ajax,FC Volendam,
173,20,24/01/2026 18:45,Goffertstadion,N.E.C. Nijmegen,PEC Zwolle,
172,20,24/01/2026 20:00,Philips Stadion,PSV,NAC Breda,
176,20,24/01/2026 21:00,De Grolsch Veste,FC Twente,Excelsior Rotterdam,
174,20,25/01/2026 12:15,Sportpark Schoonenberg,Telstar,AZ,
180,20,25/01/2026 14:30,Euroborg,FC Groningen,Fortuna Sittard,
178,20,25/01/2026 16:45,De Kuip,Feyenoord,Heracles Almelo,
179,20,25/01/2026 16:45,Stadion Galgenwaard,FC Utrecht,Sparta Rotterdam,
177,20,25/01/2026 20:00,De Adelaarshorst,Go Ahead Eagles,sc Heerenveen,
186,21,30/01/2026 20:00,Rat Verlegh Stadion,NAC Breda,FC Twente,
185,21,31/01/2026 16:30,AFAS Stadion,AZ,N.E.C. Nijmegen,
187,21,31/01/2026 18:45,MAC³PARK Stadion,PEC Zwolle,Telstar,
183,21,31/01/2026 21:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,FC Groningen,
184,21,01/02/2026 12:15,Van Donge & De Roo Stadion,Excelsior Rotterdam,Ajax,
181,21,01/02/2026 14:30,Asito Stadion,Heracles Almelo,Fortuna Sittard,
189,21,01/02/2026 14:30,Philips Stadion,PSV,Feyenoord,
182,21,01/02/2026 16:45,Abe Lenstra Stadion,sc Heerenveen,FC Utrecht,
188,21,01/02/2026 20:00,Kras Stadion,FC Volendam,Go Ahead Eagles,
190,22,07/02/2026 01:00,De Grolsch Veste,FC Twente,sc Heerenveen,
191,22,07/02/2026 01:00,De Adelaarshorst,Go Ahead Eagles,Telstar,
192,22,07/02/2026 01:00,AFAS Stadion,AZ,Ajax,
193,22,07/02/2026 01:00,Stadion Galgenwaard,FC Utrecht,Feyenoord,
194,22,07/02/2026 01:00,MAC³PARK Stadion,PEC Zwolle,FC Volendam,
195,22,07/02/2026 01:00,Euroborg,FC Groningen,PSV,
196,22,07/02/2026 01:00,Goffertstadion,N.E.C. Nijmegen,Heracles Almelo,
197,22,07/02/2026 01:00,Fortuna Sittard Stadion,Fortuna Sittard,Sparta Rotterdam,
198,22,07/02/2026 01:00,Rat Verlegh Stadion,NAC Breda,Excelsior Rotterdam,
199,23,14/02/2026 01:00,Johan Cruyff Arena,Ajax,Fortuna Sittard,
200,23,14/02/2026 01:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,N.E.C. Nijmegen,
201,23,14/02/2026 01:00,Sportpark Schoonenberg,Telstar,FC Twente,
202,23,14/02/2026 01:00,Asito Stadion,Heracles Almelo,NAC Breda,
203,23,14/02/2026 01:00,Euroborg,FC Groningen,FC Utrecht,
204,23,14/02/2026 01:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,AZ,
205,23,14/02/2026 01:00,Kras Stadion,FC Volendam,PSV,
206,23,14/02/2026 01:00,De Kuip,Feyenoord,Go Ahead Eagles,
207,23,14/02/2026 01:00,Abe Lenstra Stadion,sc Heerenveen,PEC Zwolle,
208,24,21/02/2026 01:00,De Grolsch Veste,FC Twente,FC Groningen,
209,24,21/02/2026 01:00,De Kuip,Feyenoord,Telstar,
210,24,21/02/2026 01:00,Fortuna Sittard Stadion,Fortuna Sittard,Excelsior Rotterdam,
211,24,21/02/2026 01:00,AFAS Stadion,AZ,Sparta Rotterdam,
212,24,21/02/2026 01:00,Johan Cruyff Arena,Ajax,N.E.C. Nijmegen,
213,24,21/02/2026 01:00,De Adelaarshorst,Go Ahead Eagles,Heracles Almelo,
214,24,21/02/2026 01:00,Rat Verlegh Stadion,NAC Breda,FC Volendam,
215,24,21/02/2026 01:00,Stadion Galgenwaard,FC Utrecht,PEC Zwolle,
216,24,21/02/2026 01:00,Philips Stadion,PSV,sc Heerenveen,
217,25,28/02/2026 01:00,Asito Stadion,Heracles Almelo,PSV,
218,25,28/02/2026 01:00,Stadion Galgenwaard,FC Utrecht,AZ,
219,25,28/02/2026 01:00,MAC³PARK Stadion,PEC Zwolle,Ajax,
220,25,28/02/2026 01:00,Goffertstadion,N.E.C. Nijmegen,Fortuna Sittard,
221,25,28/02/2026 01:00,Sportpark Schoonenberg,Telstar,NAC Breda,
222,25,28/02/2026 01:00,Abe Lenstra Stadion,sc Heerenveen,Sparta Rotterdam,
223,25,28/02/2026 01:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,Go Ahead Eagles,
224,25,28/02/2026 01:00,Kras Stadion,FC Volendam,FC Groningen,
225,25,28/02/2026 01:00,De Grolsch Veste,FC Twente,Feyenoord,
226,26,07/03/2026 01:00,Goffertstadion,N.E.C. Nijmegen,FC Volendam,
227,26,07/03/2026 01:00,De Adelaarshorst,Go Ahead Eagles,FC Twente,
228,26,07/03/2026 01:00,Euroborg,FC Groningen,Ajax,
229,26,07/03/2026 01:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,PEC Zwolle,
230,26,07/03/2026 01:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,sc Heerenveen,
231,26,07/03/2026 01:00,Rat Verlegh Stadion,NAC Breda,Feyenoord,
232,26,07/03/2026 01:00,Asito Stadion,Heracles Almelo,FC Utrecht,
233,26,07/03/2026 01:00,Philips Stadion,PSV,AZ,
234,26,07/03/2026 01:00,Fortuna Sittard Stadion,Fortuna Sittard,Telstar,
235,27,14/03/2026 01:00,AFAS Stadion,AZ,Heracles Almelo,
236,27,14/03/2026 01:00,De Kuip,Feyenoord,Excelsior Rotterdam,
237,27,14/03/2026 01:00,Kras Stadion,FC Volendam,Fortuna Sittard,
238,27,14/03/2026 01:00,Johan Cruyff Arena,Ajax,Sparta Rotterdam,
239,27,14/03/2026 01:00,De Grolsch Veste,FC Twente,FC Utrecht,
240,27,14/03/2026 01:00,De Adelaarshorst,Go Ahead Eagles,NAC Breda,
241,27,14/03/2026 01:00,Philips Stadion,PSV,N.E.C. Nijmegen,
242,27,14/03/2026 01:00,MAC³PARK Stadion,PEC Zwolle,FC Groningen,
243,27,14/03/2026 01:00,Abe Lenstra Stadion,sc Heerenveen,Telstar,
244,28,21/03/2026 01:00,Asito Stadion,Heracles Almelo,Excelsior Rotterdam,
245,28,21/03/2026 01:00,MAC³PARK Stadion,PEC Zwolle,NAC Breda,
246,28,21/03/2026 01:00,Euroborg,FC Groningen,AZ,
247,28,21/03/2026 01:00,Stadion Galgenwaard,FC Utrecht,Go Ahead Eagles,
248,28,21/03/2026 01:00,De Kuip,Feyenoord,Ajax,
249,28,21/03/2026 01:00,Fortuna Sittard Stadion,Fortuna Sittard,FC Twente,
250,28,21/03/2026 01:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,FC Volendam,
251,28,21/03/2026 01:00,Goffertstadion,N.E.C. Nijmegen,sc Heerenveen,
252,28,21/03/2026 01:00,Sportpark Schoonenberg,Telstar,PSV,
253,29,04/04/2026 02:00,AFAS Stadion,AZ,Fortuna Sittard,
254,29,04/04/2026 02:00,Abe Lenstra Stadion,sc Heerenveen,Heracles Almelo,
255,29,04/04/2026 02:00,Philips Stadion,PSV,FC Utrecht,
256,29,04/04/2026 02:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,N.E.C. Nijmegen,
257,29,04/04/2026 02:00,Kras Stadion,FC Volendam,Feyenoord,
258,29,04/04/2026 02:00,Sportpark Schoonenberg,Telstar,FC Groningen,
259,29,04/04/2026 02:00,De Adelaarshorst,Go Ahead Eagles,PEC Zwolle,
260,29,04/04/2026 02:00,Rat Verlegh Stadion,NAC Breda,Sparta Rotterdam,
261,29,04/04/2026 02:00,Johan Cruyff Arena,Ajax,FC Twente,
262,30,11/04/2026 02:00,Asito Stadion,Heracles Almelo,Ajax,
263,30,11/04/2026 02:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,PSV,
264,30,11/04/2026 02:00,Euroborg,FC Groningen,Go Ahead Eagles,
265,30,11/04/2026 02:00,Stadion Galgenwaard,FC Utrecht,Telstar,
266,30,11/04/2026 02:00,MAC³PARK Stadion,PEC Zwolle,Excelsior Rotterdam,
267,30,11/04/2026 02:00,Fortuna Sittard Stadion,Fortuna Sittard,NAC Breda,
268,30,11/04/2026 02:00,Goffertstadion,N.E.C. Nijmegen,Feyenoord,
269,30,11/04/2026 02:00,AFAS Stadion,AZ,sc Heerenveen,
270,30,11/04/2026 02:00,De Grolsch Veste,FC Twente,FC Volendam,
271,31,23/04/2026 02:00,De Adelaarshorst,Go Ahead Eagles,AZ,
272,31,23/04/2026 02:00,De Kuip,Feyenoord,FC Groningen,
273,31,23/04/2026 02:00,Rat Verlegh Stadion,NAC Breda,Ajax,
274,31,23/04/2026 02:00,De Grolsch Veste,FC Twente,N.E.C. Nijmegen,
275,31,23/04/2026 02:00,Asito Stadion,Heracles Almelo,FC Volendam,
276,31,23/04/2026 02:00,Abe Lenstra Stadion,sc Heerenveen,Fortuna Sittard,
277,31,23/04/2026 02:00,Philips Stadion,PSV,PEC Zwolle,
278,31,23/04/2026 02:00,Van Donge & De Roo Stadion,Excelsior Rotterdam,FC Utrecht,
279,31,23/04/2026 02:00,Sportpark Schoonenberg,Telstar,Sparta Rotterdam,
280,32,02/05/2026 02:00,Fortuna Sittard Stadion,Fortuna Sittard,Feyenoord,
281,32,02/05/2026 02:00,Johan Cruyff Arena,Ajax,PSV,
282,32,02/05/2026 02:00,Euroborg,FC Groningen,Excelsior Rotterdam,
283,32,02/05/2026 02:00,Sparta Stadion Het Kasteel,Sparta Rotterdam,Go Ahead Eagles,
284,32,02/05/2026 02:00,Stadion Galgenwaard,FC Utrecht,NAC Breda,
285,32,02/05/2026 02:00,Goffertstadion,N.E.C. Nijmegen,Telstar,
286,32,02/05/2026 02:00,MAC³PARK Stadion,PEC Zwolle,Heracles Almelo,
287,32,02/05/2026 02:00,AFAS Stadion,AZ,FC Twente,
288,32,02/05/2026 02:00,Kras Stadion,FC Volendam,sc Heerenveen,
289,33,10/05/2026 16:45,Euroborg,FC Groningen,N.E.C. Nijmegen,
290,33,10/05/2026 16:45,Fortuna Sittard Stadion,Fortuna Sittard,PEC Zwolle,
291,33,10/05/2026 16:45,De Adelaarshorst,Go Ahead Eagles,PSV,
292,33,10/05/2026 16:45,Johan Cruyff Arena,Ajax,FC Utrecht,
293,33,10/05/2026 16:45,De Grolsch Veste,FC Twente,Sparta Rotterdam,
294,33,10/05/2026 16:45,Rat Verlegh Stadion,NAC Breda,sc Heerenveen,
295,33,10/05/2026 16:45,Sportpark Schoonenberg,Telstar,Heracles Almelo,
296,33,10/05/2026 16:45,De Kuip,Feyenoord,AZ,
297,33,10/05/2026 16:45,Van Donge & De Roo Stadion,Excelsior Rotterdam,FC Volendam,
298,34,17/05/2026 14:30,Asito Stadion,Heracles Almelo,FC Groningen,
299,34,17/05/2026 14:30,Sparta Stadion Het Kasteel,Sparta Rotterdam,Excelsior Rotterdam,
300,34,17/05/2026 14:30,Goffertstadion,N.E.C. Nijmegen,Go Ahead Eagles,
301,34,17/05/2026 14:30,Kras Stadion,FC Volendam,Telstar,
302,34,17/05/2026 14:30,MAC³PARK Stadion,PEC Zwolle,Feyenoord,
303,34,17/05/2026 14:30,Stadion Galgenwaard,FC Utrecht,Fortuna Sittard,
304,34,17/05/2026 14:30,Abe Lenstra Stadion,sc Heerenveen,Ajax,
305,34,17/05/2026 14:30,Philips Stadion,PSV,FC Twente,
306,34,17/05/2026 14:30,AFAS Stadion,AZ,NAC Breda,
